,country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
0,Argentina,AR,2022-12-04 00:00:00+00:00,Films,1,Troll,N/A,1
1,Argentina,AR,2022-12-04 00:00:00+00:00,Films,2,My Name Is Vendetta,N/A,1
2,Argentina,AR,2022-12-04 00:00:00+00:00,Films,3,The Swimmers,N/A,2
3,Argentina,AR,2022-12-04 00:00:00+00:00,Films,4,Lady Chatterley's Lover,N/A,1
4,Argentina,AR,2022-12-04 00:00:00+00:00,Films,5,Hunter Killer,N/A,1
5,Argentina,AR,2022-12-04 00:00:00+00:00,Films,6,The Lost Patient,N/A,2
6,Argentina,AR,2022-12-04 00:00:00+00:00,Films,7,The Noel Diary,N/A,2
7,Argentina,AR,2022-12-04 00:00:00+00:00,Films,8,Warriors of Future,N/A,1
8,Argentina,AR,2022-12-04 00:00:00+00:00,Films,9,A Man of Action,N/A,1
9,Argentina,AR,2022-12-04 00:00:00+00:00,Films,10,Lesson Plan,N/A,2
10,Argentina,AR,2022-12-04 00:00:00+00:00,TV,1,Wednesday,Wednesday: Season 1,2
11,Argentina,AR,2022-12-04 00:00:00+00:00,TV,2,Til Money Do Us Part,Til Money Do Us Part: Season 1,7
12,Argentina,AR,2022-12-04 00:00:00+00:00,TV,3,The Unbroken Voice,The Unbroken Voice: Season 1,2
13,Argentina,AR,2022-12-04 00:00:00+00:00,TV,4,1899,1899: Season 1,3
14,Argentina,AR,2022-12-04 00:00:00+00:00,TV,5,Elite,Elite: Season 6,3
15,Argentina,AR,2022-12-04 00:00:00+00:00,TV,6,The Crown,The Crown: Season 5,4
16,Argentina,AR,2022-12-04 00:00:00+00:00,TV,7,Firefly Lane,Firefly Lane: Season 2,1
17,Argentina,AR,2022-12-04 00:00:00+00:00,TV,8,"Pablo Escobar, el patrón del mal","Pablo Escobar, el patrón del mal: Season 1",7
18,Argentina,AR,2022-12-04 00:00:00+00:00,TV,9,Pasión de Gavilanes,Pasión de Gavilanes: Season 1,73
19,Argentina,AR,2022-12-04 00:00:00+00:00,TV,10,Riverdale,Riverdale: Season 6,2
20,Argentina,AR,2022-11-27 00:00:00+00:00,Films,1,The Swimmers,N/A,1
21,Argentina,AR,2022-11-27 00:00:00+00:00,Films,2,Slumberland,N/A,2
22,Argentina,AR,2022-11-27 00:00:00+00:00,Films,3,The Noel Diary,N/A,1
23,Argentina,AR,2022-11-27 00:00:00+00:00,Films,4,The Wonder,N/A,2
24,Argentina,AR,2022-11-27 00:00:00+00:00,Films,5,Lesson Plan,N/A,1
25,Argentina,AR,2022-11-27 00:00:00+00:00,Films,6,The Lost Patient,N/A,1
26,Argentina,AR,2022-11-27 00:00:00+00:00,Films,7,The Festival,N/A,1
27,Argentina,AR,2022-11-27 00:00:00+00:00,Films,8,Christmas on Mistletoe Farm,N/A,1
28,Argentina,AR,2022-11-27 00:00:00+00:00,Films,9,Southpaw,N/A,2
29,Argentina,AR,2022-11-27 00:00:00+00:00,Films,10,Falling for Christmas,N/A,3
30,Argentina,AR,2022-11-27 00:00:00+00:00,TV,1,Wednesday,Wednesday: Season 1,1
31,Argentina,AR,2022-11-27 00:00:00+00:00,TV,2,Til Money Do Us Part,Til Money Do Us Part: Season 1,6
32,Argentina,AR,2022-11-27 00:00:00+00:00,TV,3,Elite,Elite: Season 6,2
