"index","category","rank","show_title","season_title","hours_viewed_first_28_days"
"0","Films (English)","1","Red Notice","N/A","364020000"
"1","Films (English)","2","Don't Look Up","N/A","359790000"
"2","Films (English)","3","Bird Box","N/A","282020000"
"3","Films (English)","4","The Gray Man","N/A","253870000"
"4","Films (English)","5","The Adam Project","N/A","233160000"
"5","Films (English)","6","Extraction","N/A","231340000"
"6","Films (English)","7","Purple Hearts","N/A","228690000"
"7","Films (English)","8","The Unforgivable","N/A","214700000"
"8","Films (English)","9","The Irishman","N/A","214570000"
"9","Films (English)","10","The Kissing Booth 2","N/A","209250000"
"10","Films (Non-English)","1","Blood Red Sky","N/A","110520000"
"11","Films (Non-English)","2","The Platform","N/A","108090000"
"12","Films (Non-English)","3","All Quiet on the Western Front","N/A","101360000"
"13","Films (Non-English)","4","Black Crab","N/A","94130000"
"14","Films (Non-English)","5","Through My Window","N/A","92440000"
"15","Films (Non-English)","6","The Takedown","N/A","78630000"
"16","Films (Non-English)","7","Below Zero","N/A","78300000"
"17","Films (Non-English)","8","Troll","N/A","75860000"
"18","Films (Non-English)","9","Loving Adults","N/A","67340000"
"19","Films (Non-English)","10","Rogue City","N/A","66600000"
"20","TV (English)","1","Stranger Things","Stranger Things 4","1352090000"
"21","TV (English)","2","DAHMER","DAHMER: Monster: The Jeffrey Dahmer Story","856220000"
"22","TV (English)","3","Wednesday","Wednesday: Season 1","752520000"
"23","TV (English)","4","Bridgerton","Bridgerton: Season 2","656260000"
"24","TV (English)","5","Bridgerton","Bridgerton: Season 1","625490000"
"25","TV (English)","6","Stranger Things","Stranger Things 3","582100000"
"26","TV (English)","7","Lucifer","Lucifer: Season 5","569480000"
"27","TV (English)","8","The Witcher","The Witcher: Season 1","541010000"
"28","TV (English)","9","Inventing Anna","Inventing Anna: Limited Series","511920000"
"29","TV (English)","10","13 Reasons Why","13 Reasons Why: Season 2","496120000"
"30","TV (Non-English)","1","Squid Game","Squid Game: Season 1","1650450000"
"31","TV (Non-English)","2","Money Heist","Money Heist: Part 5","792230000"
"32","TV (Non-English)","3","Money Heist","Money Heist: Part 4","619010000"
"33","TV (Non-English)","4","All of Us Are Dead","All of Us Are Dead: Season 1","560780000"
"34","TV (Non-English)","5","Money Heist","Money Heist: Part 3","426400000"
"35","TV (Non-English)","6","Extraordinary Attorney Woo","Extraordinary Attorney Woo: Season 1","402470000"
"36","TV (Non-English)","7","Café con aroma de mujer","Café con aroma de mujer: Season 1","326910000"
"37","TV (Non-English)","8","Lupin","Lupin: Part 1","316830000"
"38","TV (Non-English)","9","Elite","Elite: Season 3","275300000"
"39","TV (Non-English)","10","Who Killed Sara?","Who Killed Sara?: Season 1","266430000"
